"","Date","cardox"
"143",1970-01-01,325.06
"144",1970-02-01,325.98
"145",1970-03-01,326.93
"146",1970-04-01,328.13
"147",1970-05-01,328.08
"148",1970-06-01,327.67
"149",1970-07-01,326.34
"150",1970-08-01,324.69
"151",1970-09-01,323.1
"152",1970-10-01,323.06
"153",1970-11-01,324.01
"154",1970-12-01,325.13
"155",1971-01-01,326.17
"156",1971-02-01,326.68
"157",1971-03-01,327.17
"158",1971-04-01,327.79
"159",1971-05-01,328.93
"160",1971-06-01,328.57
"161",1971-07-01,327.36
"162",1971-08-01,325.43
"163",1971-09-01,323.36
"164",1971-10-01,323.56
"165",1971-11-01,324.8
"166",1971-12-01,326.01
"167",1972-01-01,326.77
"168",1972-02-01,327.63
"169",1972-03-01,327.75
"170",1972-04-01,329.72
"171",1972-05-01,330.07
"172",1972-06-01,329.09
"173",1972-07-01,328.04
"174",1972-08-01,326.32
"175",1972-09-01,324.84
"176",1972-10-01,325.2
"177",1972-11-01,326.5
"178",1972-12-01,327.55
"179",1973-01-01,328.55
"180",1973-02-01,329.56
"181",1973-03-01,330.3
"182",1973-04-01,331.5
"183",1973-05-01,332.48
"184",1973-06-01,332.07
"185",1973-07-01,330.87
"186",1973-08-01,329.31
"187",1973-09-01,327.51
"188",1973-10-01,327.18
"189",1973-11-01,328.16
"190",1973-12-01,328.64
"191",1974-01-01,329.35
"192",1974-02-01,330.71
"193",1974-03-01,331.48
"194",1974-04-01,332.65
"195",1974-05-01,333.18
"196",1974-06-01,332.2
"197",1974-07-01,331.07
"198",1974-08-01,329.15
"199",1974-09-01,327.33
"200",1974-10-01,327.28
"201",1974-11-01,328.31
"202",1974-12-01,329.58
"203",1975-01-01,330.73
"204",1975-02-01,331.46
"205",1975-03-01,331.94
"206",1975-04-01,333.11
"207",1975-05-01,333.95
"208",1975-06-01,333.42
"209",1975-07-01,331.97
"210",1975-08-01,329.95
"211",1975-09-01,328.5
"212",1975-10-01,328.36
"213",1975-11-01,329.38
"214",1975-12-01,330.78
"215",1976-01-01,331.56
"216",1976-02-01,332.74
"217",1976-03-01,333.36
"218",1976-04-01,334.74
"219",1976-05-01,334.72
"220",1976-06-01,333.98
"221",1976-07-01,333.08
"222",1976-08-01,330.68
"223",1976-09-01,328.96
"224",1976-10-01,328.72
"225",1976-11-01,330.16
"226",1976-12-01,331.62
"227",1977-01-01,332.68
"228",1977-02-01,333.17
"229",1977-03-01,334.96
"230",1977-04-01,336.14
"231",1977-05-01,336.93
"232",1977-06-01,336.17
"233",1977-07-01,334.89
"234",1977-08-01,332.56
"235",1977-09-01,331.29
"236",1977-10-01,331.28
"237",1977-11-01,332.46
"238",1977-12-01,333.6
"239",1978-01-01,334.94
"240",1978-02-01,335.26
"241",1978-03-01,336.66
"242",1978-04-01,337.69
"243",1978-05-01,338.02
"244",1978-06-01,338.01
"245",1978-07-01,336.5
"246",1978-08-01,334.42
"247",1978-09-01,332.36
"248",1978-10-01,332.45
"249",1978-11-01,333.76
"250",1978-12-01,334.91
"251",1979-01-01,336.14
"252",1979-02-01,336.69
"253",1979-03-01,338.27
"254",1979-04-01,338.82
"255",1979-05-01,339.24
"256",1979-06-01,339.26
"257",1979-07-01,337.54
"258",1979-08-01,335.72
"259",1979-09-01,333.97
"260",1979-10-01,334.24
"261",1979-11-01,335.32
"262",1979-12-01,336.81
"263",1980-01-01,337.9
"264",1980-02-01,338.34
"265",1980-03-01,340.07
"266",1980-04-01,340.93
"267",1980-05-01,341.45
"268",1980-06-01,341.36
"269",1980-07-01,339.45
"270",1980-08-01,337.67
"271",1980-09-01,336.25
"272",1980-10-01,336.14
"273",1980-11-01,337.3
"274",1980-12-01,338.29
"275",1981-01-01,339.29
"276",1981-02-01,340.55
"277",1981-03-01,341.63
"278",1981-04-01,342.6
"279",1981-05-01,343.04
"280",1981-06-01,342.54
"281",1981-07-01,340.82
"282",1981-08-01,338.48
"283",1981-09-01,336.95
"284",1981-10-01,337.05
"285",1981-11-01,338.58
"286",1981-12-01,339.91
"287",1982-01-01,340.93
"288",1982-02-01,341.76
"289",1982-03-01,342.77
"290",1982-04-01,343.96
"291",1982-05-01,344.77
"292",1982-06-01,343.88
"293",1982-07-01,342.42
"294",1982-08-01,340.24
"295",1982-09-01,338.38
"296",1982-10-01,338.41
"297",1982-11-01,339.44
"298",1982-12-01,340.78
"299",1983-01-01,341.57
"300",1983-02-01,342.79
"301",1983-03-01,343.37
"302",1983-04-01,345.4
"303",1983-05-01,346.14
"304",1983-06-01,345.76
"305",1983-07-01,344.32
"306",1983-08-01,342.51
"307",1983-09-01,340.46
"308",1983-10-01,340.53
"309",1983-11-01,341.79
"310",1983-12-01,343.2
"311",1984-01-01,344.21
"312",1984-02-01,344.92
"313",1984-03-01,345.68
"314",1984-04-01,347.37
"315",1984-05-01,347.78
"316",1984-06-01,347.16
"317",1984-07-01,345.79
"318",1984-08-01,343.74
"319",1984-09-01,341.59
"320",1984-10-01,341.86
"321",1984-11-01,343.31
"322",1984-12-01,345
"323",1985-01-01,345.48
"324",1985-02-01,346.41
"325",1985-03-01,347.91
"326",1985-04-01,348.66
"327",1985-05-01,349.28
"328",1985-06-01,348.65
"329",1985-07-01,346.9
"330",1985-08-01,345.26
"331",1985-09-01,343.47
"332",1985-10-01,343.35
"333",1985-11-01,344.73
"334",1985-12-01,346.12
"335",1986-01-01,346.78
"336",1986-02-01,347.48
"337",1986-03-01,348.25
"338",1986-04-01,349.86
"339",1986-05-01,350.52
"340",1986-06-01,349.98
"341",1986-07-01,348.25
"342",1986-08-01,346.17
"343",1986-09-01,345.48
"344",1986-10-01,344.82
"345",1986-11-01,346.22
"346",1986-12-01,347.49
"347",1987-01-01,348.73
"348",1987-02-01,348.92
"349",1987-03-01,349.81
"350",1987-04-01,351.4
"351",1987-05-01,352.15
"352",1987-06-01,351.58
"353",1987-07-01,350.21
"354",1987-08-01,348.2
"355",1987-09-01,346.66
"356",1987-10-01,346.72
"357",1987-11-01,348.08
"358",1987-12-01,349.28
"359",1988-01-01,350.51
"360",1988-02-01,351.7
"361",1988-03-01,352.5
"362",1988-04-01,353.67
"363",1988-05-01,354.35
"364",1988-06-01,353.88
"365",1988-07-01,352.8
"366",1988-08-01,350.49
"367",1988-09-01,348.97
"368",1988-10-01,349.37
"369",1988-11-01,350.42
"370",1988-12-01,351.62
"371",1989-01-01,353.07
"372",1989-02-01,353.43
"373",1989-03-01,354.08
"374",1989-04-01,355.72
"375",1989-05-01,355.95
"376",1989-06-01,355.44
"377",1989-07-01,354.05
"378",1989-08-01,351.84
"379",1989-09-01,350.09
"380",1989-10-01,350.33
"381",1989-11-01,351.55
"382",1989-12-01,352.91
"383",1990-01-01,353.86
"384",1990-02-01,355.1
"385",1990-03-01,355.75
"386",1990-04-01,356.38
"387",1990-05-01,357.38
"388",1990-06-01,356.39
"389",1990-07-01,354.89
"390",1990-08-01,353.06
"391",1990-09-01,351.38
"392",1990-10-01,351.69
"393",1990-11-01,353.14
"394",1990-12-01,354.41
"395",1991-01-01,354.93
"396",1991-02-01,355.82
"397",1991-03-01,357.33
"398",1991-04-01,358.77
"399",1991-05-01,359.23
"400",1991-06-01,358.23
"401",1991-07-01,356.3
"402",1991-08-01,353.97
"403",1991-09-01,352.34
"404",1991-10-01,352.43
"405",1991-11-01,353.89
"406",1991-12-01,355.21
"407",1992-01-01,356.34
"408",1992-02-01,357.21
"409",1992-03-01,357.97
"410",1992-04-01,359.22
"411",1992-05-01,359.71
"412",1992-06-01,359.44
"413",1992-07-01,357.15
"414",1992-08-01,354.99
"415",1992-09-01,353.01
"416",1992-10-01,353.41
"417",1992-11-01,354.42
"418",1992-12-01,355.68
"419",1993-01-01,357.1
"420",1993-02-01,357.42
"421",1993-03-01,358.59
"422",1993-04-01,359.39
"423",1993-05-01,360.3
"424",1993-06-01,359.64
"425",1993-07-01,357.46
"426",1993-08-01,355.76
"427",1993-09-01,354.14
"428",1993-10-01,354.23
"429",1993-11-01,355.53
"430",1993-12-01,357.03
"431",1994-01-01,358.36
"432",1994-02-01,359.04
"433",1994-03-01,360.11
"434",1994-04-01,361.36
"435",1994-05-01,361.78
"436",1994-06-01,360.94
"437",1994-07-01,359.51
"438",1994-08-01,357.59
"439",1994-09-01,355.86
"440",1994-10-01,356.21
"441",1994-11-01,357.65
"442",1994-12-01,359.1
"443",1995-01-01,360.04
"444",1995-02-01,361
"445",1995-03-01,361.98
"446",1995-04-01,363.44
"447",1995-05-01,363.83
"448",1995-06-01,363.33
"449",1995-07-01,361.78
"450",1995-08-01,359.33
"451",1995-09-01,358.32
"452",1995-10-01,358.14
"453",1995-11-01,359.61
"454",1995-12-01,360.82
"455",1996-01-01,362.2
"456",1996-02-01,363.36
"457",1996-03-01,364.28
"458",1996-04-01,364.69
"459",1996-05-01,365.25
"460",1996-06-01,365.06
"461",1996-07-01,363.69
"462",1996-08-01,361.55
"463",1996-09-01,359.69
"464",1996-10-01,359.72
"465",1996-11-01,361.04
"466",1996-12-01,362.39
"467",1997-01-01,363.24
"468",1997-02-01,364.21
"469",1997-03-01,364.65
"470",1997-04-01,366.48
"471",1997-05-01,366.77
"472",1997-06-01,365.73
"473",1997-07-01,364.46
"474",1997-08-01,362.4
"475",1997-09-01,360.44
"476",1997-10-01,360.98
"477",1997-11-01,362.65
"478",1997-12-01,364.51
"479",1998-01-01,365.39
"480",1998-02-01,366.1
"481",1998-03-01,367.36
"482",1998-04-01,368.79
"483",1998-05-01,369.56
"484",1998-06-01,369.13
"485",1998-07-01,367.98
"486",1998-08-01,366.1
"487",1998-09-01,364.16
"488",1998-10-01,364.54
"489",1998-11-01,365.67
"490",1998-12-01,367.3
"491",1999-01-01,368.35
"492",1999-02-01,369.28
"493",1999-03-01,369.84
"494",1999-04-01,371.15
"495",1999-05-01,371.12
"496",1999-06-01,370.46
"497",1999-07-01,369.61
"498",1999-08-01,367.06
"499",1999-09-01,364.95
"500",1999-10-01,365.52
"501",1999-11-01,366.88
"502",1999-12-01,368.26
"503",2000-01-01,369.45
"504",2000-02-01,369.71
"505",2000-03-01,370.75
"506",2000-04-01,371.98
"507",2000-05-01,371.75
"508",2000-06-01,371.87
"509",2000-07-01,370.02
"510",2000-08-01,368.27
"511",2000-09-01,367.15
"512",2000-10-01,367.18
"513",2000-11-01,368.53
"514",2000-12-01,369.83
"515",2001-01-01,370.76
"516",2001-02-01,371.69
"517",2001-03-01,372.63
"518",2001-04-01,373.55
"519",2001-05-01,374.03
"520",2001-06-01,373.4
"521",2001-07-01,371.68
"522",2001-08-01,369.78
"523",2001-09-01,368.34
"524",2001-10-01,368.61
"525",2001-11-01,369.94
"526",2001-12-01,371.42
"527",2002-01-01,372.7
"528",2002-02-01,373.37
"529",2002-03-01,374.3
"530",2002-04-01,375.19
"531",2002-05-01,375.93
"532",2002-06-01,375.69
"533",2002-07-01,374.16
"534",2002-08-01,372.03
"535",2002-09-01,370.92
"536",2002-10-01,370.73
"537",2002-11-01,372.43
"538",2002-12-01,373.98
"539",2003-01-01,375.07
"540",2003-02-01,375.82
"541",2003-03-01,376.64
"542",2003-04-01,377.92
"543",2003-05-01,378.78
"544",2003-06-01,378.46
"545",2003-07-01,376.88
"546",2003-08-01,374.57
"547",2003-09-01,373.34
"548",2003-10-01,373.31
"549",2003-11-01,374.84
"550",2003-12-01,376.17
"551",2004-01-01,377.17
"552",2004-02-01,378.05
"553",2004-03-01,379.06
"554",2004-04-01,380.54
"555",2004-05-01,380.8
"556",2004-06-01,379.87
"557",2004-07-01,377.65
"558",2004-08-01,376.17
"559",2004-09-01,374.43
"560",2004-10-01,374.63
"561",2004-11-01,376.33
"562",2004-12-01,377.68
"563",2005-01-01,378.63
"564",2005-02-01,379.91
"565",2005-03-01,380.95
"566",2005-04-01,382.48
"567",2005-05-01,382.64
"568",2005-06-01,382.4
"569",2005-07-01,380.93
"570",2005-08-01,378.93
"571",2005-09-01,376.89
"572",2005-10-01,377.19
"573",2005-11-01,378.54
"574",2005-12-01,380.31
"575",2006-01-01,381.58
"576",2006-02-01,382.4
"577",2006-03-01,382.86
"578",2006-04-01,384.8
"579",2006-05-01,385.22
"580",2006-06-01,384.24
"581",2006-07-01,382.65
"582",2006-08-01,380.6
"583",2006-09-01,379.04
"584",2006-10-01,379.33
"585",2006-11-01,380.35
"586",2006-12-01,382.02
"587",2007-01-01,383.1
"588",2007-02-01,384.12
"589",2007-03-01,384.81
"590",2007-04-01,386.73
"591",2007-05-01,386.78
"592",2007-06-01,386.33
"593",2007-07-01,384.73
"594",2007-08-01,382.24
"595",2007-09-01,381.2
"596",2007-10-01,381.37
"597",2007-11-01,382.7
"598",2007-12-01,384.19
"599",2008-01-01,385.78
"600",2008-02-01,386.06
"601",2008-03-01,386.28
"602",2008-04-01,387.34
"603",2008-05-01,388.78
"604",2008-06-01,387.99
"605",2008-07-01,386.61
"606",2008-08-01,384.32
"607",2008-09-01,383.41
"608",2008-10-01,383.21
"609",2008-11-01,384.41
"610",2008-12-01,385.79
"611",2009-01-01,387.17
"612",2009-02-01,387.7
"613",2009-03-01,389.04
"614",2009-04-01,389.76
"615",2009-05-01,390.36
"616",2009-06-01,389.7
"617",2009-07-01,388.24
"618",2009-08-01,386.29
"619",2009-09-01,384.95
"620",2009-10-01,384.64
"621",2009-11-01,386.23
"622",2009-12-01,387.63
"623",2010-01-01,388.91
"624",2010-02-01,390.41
"625",2010-03-01,391.37
"626",2010-04-01,392.67
"627",2010-05-01,393.21
"628",2010-06-01,392.38
"629",2010-07-01,390.41
"630",2010-08-01,388.54
"631",2010-09-01,387.03
"632",2010-10-01,387.43
"633",2010-11-01,388.87
"634",2010-12-01,389.99
"635",2011-01-01,391.5
"636",2011-02-01,392.05
"637",2011-03-01,392.8
"638",2011-04-01,393.44
"639",2011-05-01,394.41
"640",2011-06-01,393.95
"641",2011-07-01,392.72
"642",2011-08-01,390.33
"643",2011-09-01,389.28
"644",2011-10-01,389.19
"645",2011-11-01,390.48
"646",2011-12-01,392.06
"647",2012-01-01,393.31
"648",2012-02-01,394.04
"649",2012-03-01,394.59
"650",2012-04-01,396.38
"651",2012-05-01,396.93
"652",2012-06-01,395.91
"653",2012-07-01,394.56
"654",2012-08-01,392.59
"655",2012-09-01,391.32
"656",2012-10-01,391.27
"657",2012-11-01,393.2
"658",2012-12-01,394.57
"659",2013-01-01,395.78
"660",2013-02-01,397.03
"661",2013-03-01,397.66
"662",2013-04-01,398.64
"663",2013-05-01,400.02
"664",2013-06-01,398.81
"665",2013-07-01,397.51
"666",2013-08-01,395.39
"667",2013-09-01,393.72
"668",2013-10-01,393.9
"669",2013-11-01,395.36
"670",2013-12-01,397.03
"671",2014-01-01,398.04
"672",2014-02-01,398.27
"673",2014-03-01,399.91
"674",2014-04-01,401.51
"675",2014-05-01,401.96
"676",2014-06-01,401.43
"677",2014-07-01,399.27
"678",2014-08-01,397.18
"679",2014-09-01,395.54
"680",2014-10-01,396.16
"681",2014-11-01,397.4
"682",2014-12-01,399.08
"683",2015-01-01,400.18
"684",2015-02-01,400.55
"685",2015-03-01,401.74
"686",2015-04-01,403.34
"687",2015-05-01,404.15
"688",2015-06-01,402.97
"689",2015-07-01,401.46
"690",2015-08-01,399.11
"691",2015-09-01,397.82
"692",2015-10-01,398.49
"693",2015-11-01,400.27
"694",2015-12-01,402.06
"695",2016-01-01,402.73
"696",2016-02-01,404.25
"697",2016-03-01,405.06
"698",2016-04-01,407.6
"699",2016-05-01,407.9
"700",2016-06-01,406.99
"701",2016-07-01,404.59
"702",2016-08-01,402.45
"703",2016-09-01,401.23
"704",2016-10-01,401.79
"705",2016-11-01,403.72
"706",2016-12-01,404.64
"707",2017-01-01,406.36
"708",2017-02-01,406.66
"709",2017-03-01,407.54
"710",2017-04-01,409.22
"711",2017-05-01,409.89
"712",2017-06-01,409.08
"713",2017-07-01,407.33
"714",2017-08-01,405.32
"715",2017-09-01,403.57
"716",2017-10-01,403.82
"717",2017-11-01,405.31
"718",2017-12-01,407
"719",2018-01-01,408.15
"720",2018-02-01,408.52
"721",2018-03-01,409.59
"722",2018-04-01,410.45
"723",2018-05-01,411.44
"724",2018-06-01,410.99
"725",2018-07-01,408.9
"726",2018-08-01,407.16
"727",2018-09-01,405.71
"728",2018-10-01,406.19
"729",2018-11-01,408.21
"730",2018-12-01,409.27
"731",2019-01-01,411.03
"732",2019-02-01,411.96
"733",2019-03-01,412.18
"734",2019-04-01,413.54
"735",2019-05-01,414.86
"736",2019-06-01,414.16
"737",2019-07-01,411.97
"738",2019-08-01,410.18
"739",2019-09-01,408.76
"740",2019-10-01,408.75
"741",2019-11-01,410.48
"742",2019-12-01,411.98
"743",2020-01-01,413.61
"744",2020-02-01,414.34
"745",2020-03-01,414.74
"746",2020-04-01,416.45
"747",2020-05-01,417.31
"748",2020-06-01,416.6
"749",2020-07-01,414.62
"750",2020-08-01,412.78
"751",2020-09-01,411.52
"752",2020-10-01,411.51
"753",2020-11-01,413.12
"754",2020-12-01,414.26
"755",2021-01-01,415.52
"756",2021-02-01,416.75
"757",2021-03-01,417.64
"758",2021-04-01,419.05
"759",2021-05-01,419.13
"760",2021-06-01,418.94
"761",2021-07-01,416.96
"762",2021-08-01,414.47
"763",2021-09-01,413.3
"764",2021-10-01,413.93
"765",2021-11-01,415.01
"766",2021-12-01,416.71
"767",2022-01-01,418.19
"768",2022-02-01,419.28
"769",2022-03-01,418.81
"770",2022-04-01,420.23
"771",2022-05-01,420.99
"772",2022-06-01,420.99
"773",2022-07-01,418.9
"774",2022-08-01,417.19
"775",2022-09-01,415.95
"776",2022-10-01,415.78
"777",2022-11-01,417.51
"778",2022-12-01,418.95
"779",2023-01-01,419.47
"780",2023-02-01,420.41
"781",2023-03-01,421
